cell,x,y,lon,lat,height,area_sq,biome,biome_cost,habitability,is_land,harbor,river,flux,pop,state,state_name,province,province_name,culture,culture_name,burg,burg_name,burg_pop,market_cell,cost_to_market_mi,supply_days
0,679.0,9.95,-33.4503,88.1088,10,595,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
1,695.0,1.0,-30.4094,89.8099,75,351,Glacier,5000,0,1,1,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
2,703.74,7.96,-28.7482,88.487,100,403,Glacier,5000,0,1,3,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
3,729.62,5.47,-23.8295,88.9603,52,413,Glacier,5000,0,1,1,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
4,742.25,2.12,-21.4291,89.597,52,528,Glacier,5000,0,1,1,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
5,769.23,3.8,-16.3013,89.2777,80,429,Glacier,5000,0,1,1,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
6,779.48,6.35,-14.3532,88.793,52,509,Glacier,5000,0,1,1,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
7,808.15,12.32,-8.9042,87.6583,52,359,Glacier,5000,0,1,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
8,815.86,10.85,-7.4389,87.9377,100,456,Glacier,5000,0,1,1,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
9,844.07,3.62,-2.0773,89.3119,100,479,Glacier,5000,0,1,2,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
10,850.57,9.54,-0.842,88.1867,64,335,Glacier,5000,0,1,1,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
11,875.12,10.53,3.824,87.9985,46,297,Glacier,5000,0,1,1,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
12,884.67,6.99,5.639,88.6714,63,465,Glacier,5000,0,1,2,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
13,903.17,16.87,9.1551,86.7935,86,304,Glacier,5000,0,1,2,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
14,921.13,8.5,12.5686,88.3844,66,492,Glacier,5000,0,1,3,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
15,942.92,7.42,16.7099,88.5897,52,416,Glacier,5000,0,1,2,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
16,962.45,6.52,20.4218,88.7607,53,589,Glacier,5000,0,1,3,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
17,986.42,7.35,24.9775,88.603,42,526,Glacier,5000,0,1,2,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
18,1005.94,15.56,28.6874,87.0424,53,275,Glacier,5000,0,1,2,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
19,1010.23,1.04,29.5028,89.8023,43,535,Glacier,5000,0,1,2,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
20,1042.96,14.03,35.7234,87.3333,48,370,Glacier,5000,0,1,3,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
21,1052.67,13.93,37.5689,87.3523,71,313,Glacier,5000,0,1,3,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
22,1068.84,11.53,40.6421,87.8084,10,571,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
23,660.37,22.36,-36.9911,85.7499,10,3024,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
24,686.23,31.28,-32.0762,84.0545,10,304,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
25,696.6,29.2,-30.1053,84.4498,10,244,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
26,706.94,27.11,-28.1401,84.8471,10,198,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
27,715.1,36.4,-26.5892,83.0813,10,178,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
28,720.91,21.93,-25.4849,85.8317,71,345,Glacier,5000,0,1,4,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
29,749.46,29.52,-20.0588,84.389,10,292,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
30,736.4,37.6,-22.5409,82.8532,10,288,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
31,757.31,27.97,-18.5668,84.6836,79,267,Glacier,5000,0,1,4,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
32,779.34,28.89,-14.3798,84.5088,10,256,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
33,790.3,34.1,-12.2968,83.5185,10,209,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
34,769.7,34.3,-16.212,83.4805,10,182,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
35,804.95,26.29,-9.5124,85.003,60,264,Glacier,5000,0,1,5,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
36,823.51,28.27,-5.9849,84.6266,10,227,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
37,830.46,30.75,-4.664,84.1552,33,272,Glacier,5000,0,1,5,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
38,849.56,25.66,-1.0339,85.1227,10,288,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
39,845.4,39.1,-1.8246,82.5681,10,176,Marine,10,0,0,0,0,0,0,0,Neutrals,0,,0,Wildlands,,,,,,
