burg,name,cell,state,population,harbor_quality,haven_cell,port_flag_in_file
53,Manaba,2620,Mhekinn,1749017,1,2622,0
26,Atlai,2659,Boru,1679433,1,2746,0
50,Vaith,3093,Remoore,1440755,2,3161,0
22,Rithi,1968,Cutho,1201809,2,1876,0
49,Sawler,3190,Remoore,886550,1,3188,0
6,Aravas,2299,Mhekinn,853855,1,2301,0
39,Ae'rin,1402,Kel'Esta,836226,1,1404,0
45,Heigate,2431,Remoore,824643,1,2433,0
15,Cass'tow,1200,Kel'Esta,561068,3,1203,0
5,Oem'rek,461,Kel'Esta,560794,1,463,0
51,Odina,1820,Mhekinn,556452,1,1730,0
55,Ziracurny,2720,Mhekinn,513375,1,2801,0
59,Temlik,593,Edhellon,474079,1,596,0
40,Mertyn,2962,Remoore,327514,2,3030,0
3,Remoore,3115,Remoore,280368,2,3116,0
1,Sumayya,1715,Asra,258322,2,1621,0
4,Xaros,2141,Boru,249447,2,2237,0
41,Taydale,2678,Remoore,180799,1,2764,0
11,Melephene,1274,Dymia,155274,3,1177,0
57,Krassen,847,Edhellon,148814,2,761,0
30,Eada,1852,Boru,131742,1,1854,0
35,Eas'em,1029,Kel'Esta,125644,4,1137,0
66,Caedon,1371,Dymia,91642,1,1372,0
65,Valantis,1180,Dymia,89947,3,1277,0
64,Larilius,1076,Dymia,64855,2,1184,0
78,Faquen,751,Dead Forrest,1072,3,659,0
79,Calcescast,2016,Blood Fields,78,1,1918,0
80,Lehovil,1829,Blood Fields,51,1,1831,0
